marker
Microglia
Oligodendrocytes
Microglia
Endothelial cells
ARPs
Astrocytes
Neural stem cells
Neuroblasts
"Unknown glial cells (Ttr, Ecrg4)"
Macrophages
CPCs
Endothelial cells
Pericytes
Tancytes
Blood cells
EC-like cells (Cldn5)
VSMCs
EC-like cells (Cldn5)
Unknown cells 2
EGs
Unknown cells 1 (Cxcl12)
Astrocytes
mNEUR
NEUTs
VLMCs
Monocytes
Unknown cells 3
VLMCs
